19-09-2021 06:25,loot nget pharmeasy plus months membership re n nvisit membership,b'on9deals',"b'Mumbai, India'",neutral,0
19-09-2021 04:45,jpr face mask still mandatory private car fully vaccinated driver passangers covid police,b'mrinaljaipur',"b'Jaipur, India'",neutral,0
19-09-2021 04:22,don t let guard covid third wave e ected make difference impact n nmask,b'MayaSharmaNDTV',"b'Bengaluru, India'",neutral,0
18-09-2021 12:45,using mask getting vaccinated unlock chances getting free worries stay safe n n doitc,b'DoITCRaj',"b'Jaipur, India'",positive,0.45
18-09-2021 08:28,average people see inside hospital public place wear mask nose,b'sajanjohn',"b'Bengaluru, India'",negative,-0.075
18-09-2021 07:08,precautions covid suggested government india interest custome,b'POCOSupport',b'India',neutral,0
18-09-2021 07:00,satiesh covid suggested government india interest customers employee,b'RedmiSupportIN',b'India',neutral,0
18-09-2021 05:54,jharkhand covid guidelines right now atleast don t appear picture cm,b'HinduUrjaa',"b'Patna, India'",positive,0.285714286
18-09-2021 05:29,dear nflights mein mask face shield amp ppe gown distribution band karne ke liye bahut bahut dhanyawaad f f f f n chinesevirus covid,b'Manish_B2V',"b'Bhubaneshwar, India'",neutral,0
18-09-2021 04:49,covid suggested government india interest customers,b'POCOSupport',b'India',neutral,0
18-09-2021 04:00,fully vaccinated ni wear mask step outside nin short following govt orders covid f n covidvaccine,b'trishnadas56',b'India',neutral,0
17-09-2021 16:25,vaccine podu mask podu msdhoni urges fans take covid ja wear masks n csk ipl n via,b'Oneindia',b'India',neutral,0
17-09-2021 10:45,mask sanitize don t socialize nget doses stay safe n n india,b'HelpNowIndia',"b'Mumbai, India'",positive,0.5
17-09-2021 08:42,covid warriors must happy seeing dashboard n ntake ja wear mask s,b'kunjee',b'India',positive,0.8
17-09-2021 07:45,speaker removed mask video recording ensure voice clarity passenger safety especiall,b'AAI_Official',"b'New Delhi, India'",neutral,0
17-09-2021 06:00,bjp filed complaint west bengal cm mamata banerjee violating covid norms visit gurudwar,b'briflynews',b'India',negative,-0.3
17-09-2021 02:55,maskup nirmalasitharaman fm using mask common man fined n covid,b'ankitcts1',"b'Noida, India'",negative,-0.3
16-09-2021 18:41,things remember wearing mask n maskup vaccinemandates covid covidiots india,b'AbhishekAcer',"b'Bengaluru, India'",neutral,0
16-09-2021 13:54,rd wave will start last time maharashtra time s kerala n nwith festivals comin,b'Misnomer30',b'India',neutral,0
16-09-2021 11:26,always announce wearing mask time don t run c al time travellin,b'urstrulyAndy',"b'Hyderabad, India'",neutral,0
